Timezones are UTC,https://www.CryptoDataDownload.com
Date,Symbol,Open,High,Low,Close,Volume BTC,Volume USD
2020-03-07 01-PM,BTCUSD,9151.15,9151.15,9151.15,9151.15,0.0,0.0
2020-03-07 12-PM,BTCUSD,9129.64,9151.15,9129.64,9151.15,0.003278,30.0
2020-03-07 11-AM,BTCUSD,9136.1,9136.1,9116.14,9129.64,0.006774,61.83
2020-03-07 10-AM,BTCUSD,9136.1,9136.1,9136.1,9136.1,0.0,0.0
2020-03-07 09-AM,BTCUSD,9140.62,9140.62,8872.6,9136.1,2.142,19008.78
2020-03-07 08-AM,BTCUSD,9150,9150,9140.62,9140.62,0.00384,35.1
2020-03-07 07-AM,BTCUSD,9150,9150,9150,9150,0.0,0.0
2020-03-07 06-AM,BTCUSD,9150,9150,9150,9150,0.0,0.0
2020-03-07 05-AM,BTCUSD,9150,9150,9150,9150,0.0,0.0
2020-03-07 04-AM,BTCUSD,9150,9150,9150,9150,0.0,0.0
2020-03-07 03-AM,BTCUSD,9150,9150,9150,9150,0.0,0.0
2020-03-07 02-AM,BTCUSD,9150,9150,9150,9150,0.0,0.0
2020-03-07 01-AM,BTCUSD,9150,9150,9150,9150,0.0,0.0
2020-03-07 12-AM,BTCUSD,9120,9150,9120,9150,0.2607,2384.68
2020-03-06 11-PM,BTCUSD,9120,9120,9120,9120,0.0,0.0
2020-03-06 10-PM,BTCUSD,9120,9120,9120,9120,0.0,0.0
2020-03-06 09-PM,BTCUSD,9120,9120,9120,9120,0.0,0.0
2020-03-06 08-PM,BTCUSD,9096.96,9120,9096.96,9120,0.02291,208.97
2020-03-06 07-PM,BTCUSD,9096.96,9096.96,9096.96,9096.96,0.0,0.0
2020-03-06 06-PM,BTCUSD,9096.96,9096.96,9096.96,9096.96,0.0,0.0
2020-03-06 05-PM,BTCUSD,9096.96,9096.96,9096.96,9096.96,0.004167,37.91
2020-03-06 04-PM,BTCUSD,9122.83,9122.83,9096.96,9096.96,0.05884,535.25
2020-03-06 03-PM,BTCUSD,9122.83,9122.83,9122.83,9122.83,0.0,0.0
2020-03-06 02-PM,BTCUSD,9122.83,9122.83,9122.83,9122.83,0.0,0.0
2020-03-06 01-PM,BTCUSD,8806.5,9142.4,8806.5,9122.83,0.004808,43.9
2020-03-06 12-PM,BTCUSD,8806.5,8806.5,8806.5,8806.5,0.0,0.0
2020-03-06 11-AM,BTCUSD,9150,9150,8806.5,8806.5,0.007837,69.08
2020-03-06 10-AM,BTCUSD,9140,9150,9140,9150,0.0234,214.13
2020-03-06 09-AM,BTCUSD,9120,9140,9120,9140,0.006186,56.54
2020-03-06 08-AM,BTCUSD,9137.11,9137.11,8832.64,9120,3.851,35117.22
2020-03-06 07-AM,BTCUSD,9137.11,9137.11,9137.11,9137.11,0.0,0.0
2020-03-06 06-AM,BTCUSD,9140,9140,9137.11,9137.11,0.00404,36.91
2020-03-06 05-AM,BTCUSD,9140,9140,9140,9140,0.0,0.0
2020-03-06 04-AM,BTCUSD,9140,9140,9140,9140,0.0,0.0
2020-03-06 03-AM,BTCUSD,9140,9140,9140,9140,0.0,0.0
2020-03-06 02-AM,BTCUSD,9140,9140,9140,9140,0.0,0.0
2020-03-06 01-AM,BTCUSD,9140,9140,9140,9140,0.0,0.0
2020-03-06 12-AM,BTCUSD,9140,9140,9140,9140,0.0,0.0
2020-03-05 11-PM,BTCUSD,8995,9140,8995,9140,0.01381,126.26
2020-03-05 10-PM,BTCUSD,9099,9099,8995,8995,0.004536,40.82
2020-03-05 09-PM,BTCUSD,9099,9099,9099,9099,0.0,0.0
2020-03-05 08-PM,BTCUSD,9099,9099,9099,9099,0.0,0.0
2020-03-05 07-PM,BTCUSD,9099,9099,9099,9099,0.0,0.0
2020-03-05 06-PM,BTCUSD,9100,9100,9099,9099,0.0006514,5.927
2020-03-05 05-PM,BTCUSD,9064.14,9100,9064.14,9100,0.005707,51.94
2020-03-05 04-PM,BTCUSD,9064.14,9064.14,9064.14,9064.14,0.0,0.0
2020-03-05 03-PM,BTCUSD,9149.99,9149.99,9064.14,9064.14,0.09318,846.11
2020-03-05 02-PM,BTCUSD,9149.99,9149.99,9149.99,9149.99,0.0,0.0
2020-03-05 01-PM,BTCUSD,9149.99,9149.99,9149.99,9149.99,0.0,0.0
2020-03-05 12-PM,BTCUSD,9149.99,9149.99,9149.99,9149.99,0.0,0.0
2020-03-05 11-AM,BTCUSD,9149.99,9149.99,9149.99,9149.99,0.001093,10.0
2020-03-05 10-AM,BTCUSD,9149.98,9149.99,9149.98,9149.99,0.8512,7788.85
2020-03-05 09-AM,BTCUSD,8884.87,9149.98,8884.87,9149.98,0.2424,2202.18
2020-03-05 08-AM,BTCUSD,9000,9000,8884.87,8884.87,0.01469,130.56
2020-03-05 07-AM,BTCUSD,9000,9000,9000,9000,0.001111,10.0
2020-03-05 06-AM,BTCUSD,8617.74,9000,8617.74,9000,0.01097,98.77
2020-03-05 05-AM,BTCUSD,8617.74,8617.74,8617.74,8617.74,0.0,0.0
2020-03-05 04-AM,BTCUSD,8617.74,8617.74,8617.74,8617.74,0.0,0.0
2020-03-05 03-AM,BTCUSD,8617.74,8617.74,8617.74,8617.74,0.0,0.0
2020-03-05 02-AM,BTCUSD,8900,8900,8617.74,8617.74,0.00069,5.946
2020-03-05 01-AM,BTCUSD,8900,8900,8900,8900,0.0,0.0
2020-03-05 12-AM,BTCUSD,8900,8900,8900,8900,0.0,0.0
2020-03-04 11-PM,BTCUSD,8549.07,8900,8549.07,8900,0.003409,30.34
2020-03-04 10-PM,BTCUSD,8549.07,8549.07,8549.07,8549.07,0.0,0.0
2020-03-04 09-PM,BTCUSD,8549.07,8549.07,8549.07,8549.07,0.0,0.0
2020-03-04 08-PM,BTCUSD,9007.4,9007.4,8549.07,8549.07,0.003562,30.45
2020-03-04 07-PM,BTCUSD,9007.4,9007.4,9007.4,9007.4,0.0,0.0
2020-03-04 06-PM,BTCUSD,9050,9050,9007.4,9007.4,0.007356,66.26
2020-03-04 05-PM,BTCUSD,9050,9050,9050,9050,0.0,0.0
2020-03-04 04-PM,BTCUSD,8900.33,9050,8471.49,9050,0.02994,255.28
2020-03-04 03-PM,BTCUSD,8900.33,8900.33,8900.33,8900.33,0.0,0.0
2020-03-04 02-PM,BTCUSD,8900.33,8900.33,8900.33,8900.33,0.0,0.0
2020-03-04 01-PM,BTCUSD,8301,8900.33,8301,8900.33,0.3463,3072.95
2020-03-04 12-PM,BTCUSD,8301,8301,8301,8301,0.0,0.0
2020-03-04 11-AM,BTCUSD,8790.04,8790.04,8301,8301,0.054,464.45
2020-03-04 10-AM,BTCUSD,8879.98,8879.98,8790,8790.04,0.04596,403.97
2020-03-04 09-AM,BTCUSD,8879.98,8879.98,8879.98,8879.98,0.0,0.0
2020-03-04 08-AM,BTCUSD,8879.98,8879.98,8879.98,8879.98,0.0,0.0
2020-03-04 07-AM,BTCUSD,8898.43,8898.43,8879.98,8879.98,0.01594,141.53
2020-03-04 06-AM,BTCUSD,8898.43,8898.43,8898.43,8898.43,0.0,0.0
2020-03-04 05-AM,BTCUSD,8898.43,8898.43,8898.43,8898.43,0.0,0.0
2020-03-04 04-AM,BTCUSD,8898.43,8898.43,8898.43,8898.43,0.0,0.0
